Ville,Code Postal,Département,Latitude,Longitude,Distance_vélo,Temps_vélo,Temps_velo (minutes),Temps_transports,Temps_transports (minutes),Distance_transport,Ratio temps_en_transport/distance,Temps_voiture,Temps_voiture (minutes),Distance_auto,Temps_voiture_heure_de_pointe,Temps_voiture_heure_de_pointe (minutes),Distance heure de pointe,Ratio temps_en_voiture/distance,Difference tps de parcours Voiture/Transport,Difference tps de parcours heure de pointe Voiture/Transport
Maisse,91720,Essonne,48.3941161,2.3770642,31.0,1 hour 48 mins,108,nan,,32.6,,31 mins,31,32.6,1 hour 41 mins,101,32.6,0.950920245398773,,
Marcoussis,91460,Essonne,48.64238169999999,2.2299005,63.4,3 hours 33 mins,213,nan,,63.9,,51 mins,51,63.9,2 hours 5 mins,125,63.9,0.7981220657276995,,
Marolles-en-Beauce,91150,Essonne,48.3748581,2.2016799,41.0,2 hours 25 mins,145,50 mins,50,42.7,1.17096018735363,37 mins,37,42.7,1 hour 59 mins,119,42.7,0.8665105386416861,13.0,-69.0
Marolles-en-Hurepoix,91630,Essonne,48.5642133,2.2987148,20.2,1 hour 10 mins,70,52 mins,52,22.6,2.3008849557522124,24 mins,24,22.6,1 hour 13 mins,73,22.6,1.0619469026548671,28.0,-21.0
Massy,91300,Essonne,48.7216967,2.2827009,46.0,2 hours 38 mins,158,nan,,43.9,,36 mins,36,43.9,1 hour 51 mins,111,43.9,0.8200455580865604,,
Mauchamps,91730,Essonne,48.5285628,2.1973451,41.8,2 hours 20 mins,140,1 hour 7 mins,67,43.7,1.5331807780320366,37 mins,37,43.7,2 hours 5 mins,125,43.7,0.8466819221967963,30.0,-58.0
Mennecy,91540,Essonne,48.5666744,2.4342999,66.1,3 hours 46 mins,226,nan,,79.2,,54 mins,54,79.2,1 hour 59 mins,119,79.2,0.6818181818181818,,
Mérobert,91780,Essonne,48.4164351,2.0047222,71.4,3 hours 47 mins,227,nan,,67.2,,54 mins,54,67.2,2 hours 10 mins,130,67.2,0.8035714285714285,,
Mespuits,91150,Essonne,48.3575328,2.2762723,59.7,3 hours 13 mins,193,nan,,63.2,,45 mins,45,63.2,2 hours 14 mins,134,63.2,0.7120253164556962,,
Milly-la-Forêt,91490,Essonne,48.4034676,2.4683269,55.7,2 hours 58 mins,178,nan,,63.4,,44 mins,44,63.4,2 hours 14 mins,134,63.4,0.694006309148265,,
Moigny-sur-École,91490,Essonne,48.4330623,2.4574411,50.8,2 hours 44 mins,164,nan,,58.2,,44 mins,44,58.2,2 hours 14 mins,134,58.2,0.7560137457044673,,
Mondeville,91590,Essonne,48.4904594,2.4158719,73.5,4 hours 8 mins,248,1 hour 4 mins,64,67.9,0.942562592047128,51 mins,51,67.9,2 hours 3 mins,123,67.9,0.7511045655375551,13.0,-59.0
Monnerville,91930,Essonne,48.3464185,2.043882,22.6,1 hour 13 mins,73,47 mins,47,24.4,1.9262295081967213,29 mins,29,24.4,1 hour 36 mins,96,24.4,1.1885245901639345,18.0,-49.0
Montgeron,91230,Essonne,48.6978397,2.4598308,28.4,1 hour 40 mins,100,nan,,29.8,,27 mins,27,29.8,1 hour 32 mins,92,29.8,0.9060402684563759,,
Montlhéry,91310,Essonne,48.6383561,2.2715311,23.3,1 hour 22 mins,82,52 mins,52,24.5,2.122448979591837,24 mins,24,24.5,1 hour 17 mins,77,24.5,0.9795918367346939,28.0,-25.0
Morangis,91420,Essonne,48.7005217,2.3372229,56.0,3 hours 19 mins,199,nan,,52.9,,43 mins,43,52.9,1 hour 58 mins,118,52.9,0.8128544423440454,,
Morigny-Champigny,91150,Essonne,48.4467529,2.181657,29.7,1 hour 38 mins,98,nan,,29.0,,27 mins,27,29.0,1 hour 34 mins,94,29.0,0.9310344827586207,,
Morsang-sur-Orge,91390,Essonne,48.6578273,2.353564,42.2,2 hours 18 mins,138,1 hour 14 mins,74,47.8,1.5481171548117156,40 mins,40,47.8,2 hours 9 mins,129,47.8,0.8368200836820084,34.0,-55.0
Morsang-sur-Seine,91250,Essonne,48.5705677,2.4931776,47.1,2 hours 33 mins,153,nan,,49.1,,37 mins,37,49.1,2 hours 5 mins,125,49.1,0.7535641547861507,,
